Artist              # of appearances
------------------------------------
Roddy Ricch           2
Tones and I           2
The Weeknd            2
Dua Lipa              2
KAROL G               1
Trevor Daniel         1
Justin Bieber         3
Arizona Zervas        1
Future                1
Billie Eilish        10
Eminem                2
Post Malone           6
Maroon 5              2
Lewis Capaldi         3
The Black Eyed Peas   1
Shawn Mendes          2
Halsey                2
Harry Styles          4
Camila Cabello        1
Doja Cat              1
Dimelo Flow           1
Selena Gomez          2
MEDUZA                2
YNW Melly             1
Bad Bunny             2
Joji                  2
Regard                1
SAINt JHN             1
Jonas Brothers        3
Dalex                 2
Khalid                3
Anuel AA              2
J Balvin              4
Ali Gatie             2
BROCKHAMPTON          1
Rauw Alejandro        1
DaBaby                4
Ed Sheeran            6
blackbear             2
Nicky Jam             2
Shakira               1
Mustard               1
Travis Scott          4
Lil Mosey             1
Dan + Shay            1
Surfaces              1
Tyga                  1
Juice WRLD            3
Don Toliver           1
JP Saxe               1
Ariana Grande         2
5 Seconds of Summer   2
Jhay Cortez           2
Mac Miller            1
Y2K                   1
Lady Gaga             1
Tainy                 1
Lil Nas X             1
Taylor Swift          2
Lil Baby              2
Alan Walker           1
JACKBOYS              1
Sam Smith             3
Stormzy               1
BTS                   1
Marshmello            1
Lil Tecca             1
Noah Cyrus            1
Lunay                 2
Imagine Dragons       2
Daddy Yankee          3
Joker Bra             1
Jack Harlow           1
Lil Uzi Vert          1
Nicki Minaj           1
Ant Saunders          1
Myke Towers           1
Queen                 1
Kygo                  2
Kina                  2
Drake                 2
Reik                  1
Anne-Marie            1
James Arthur          1
Lizzo                 2
Rich Music LTD        2
SHAED                 1
XXXTENTACION          3
Sech                  2
G-Eazy                1
Henrique & Juliano    1
benny blanco          1
Conan Gray            1
Ava Max               1
TOKYO’S REVENGE       1
Major Lazer           1
Lil Wayne             1
Ellie Goulding        1
Niall Horan           1
Arcangel              1
Tory Lanez            1
Olivia Rodrigo        1
John Legend           1
Lauv                  1
Camilo                1
Chris Brown           1
The Chainsmokers      1
Dominic Fike          1
ROSALÍA               2
Bazzi                 1
Justin Quiles         1
Panic! At The Disco   1
Tyler The Creator     1
Piso 21               1
Dean Lewis            1
DJ Snake              1
Red Velvet            1
Alec Benjamin         1
Young Thug            1
Samra                 1
J. Cole               1
Gusttavo Lima         1
